date,code,action,price,shares,info
2020-03-30,002150.SZ,BUY,6.32262,12900,SIGNAL
2020-03-30,002977.SZ,BUY,87.174,900,SIGNAL
2020-03-30,603221.SH,SELL,17.5627297488,4300,STOP_LOSS (-8.3%)
2020-03-31,002437.SZ,SELL,2.5948,30800,SIGNAL_LOST (-4.2%)
2020-03-31,000590.SZ,SELL,10.54886,7800,SIGNAL_LOST (-1.2%)
2020-03-31,000597.SZ,SELL,7.81434,10600,SIGNAL_LOST (-0.5%)
2020-03-31,000930.SZ,SELL,7.52492,2000,SIGNAL_LOST (3.4%)
2020-03-31,600366.SH,BUY,6.212400000000001,13200,SIGNAL
2020-03-31,002192.SZ,BUY,16.723380000000002,4900,SIGNAL
2020-03-31,600685.SH,BUY,13.326600000000001,6100,SIGNAL
2020-03-31,600482.SH,BUY,16.91376,4800,SIGNAL
2020-03-31,600072.SH,BUY,11.022,7400,SIGNAL
2020-03-31,002852.SZ,BUY,13.7775,5900,SIGNAL
2020-03-31,002299.SZ,BUY,23.18628,3500,SIGNAL
2020-03-31,000889.SZ,SELL,9.660639999999999,8200,STOP_LOSS (-2.5%)
2020-04-01,603728.SH,BUY,13.68732,5900,SIGNAL
2020-04-01,002706.SZ,BUY,11.8236,700,SIGNAL
2020-04-01,002977.SZ,SELL,80.97772,900,STOP_LOSS (-7.2%)
2020-04-02,002852.SZ,SELL,14.14166,5900,TRAILING_STOP (2.6%)
2020-04-03,002852.SZ,BUY,13.8276,5800,SIGNAL
2020-04-07,002150.SZ,SELL,6.07782,12900,SIGNAL_LOST (-3.9%)
2020-04-08,002192.SZ,SELL,16.15762,4900,TRAILING_STOP (-3.5%)
2020-04-08,603728.SH,SELL,13.5229,5900,TRAILING_STOP (-1.3%)
2020-04-09,603728.SH,BUY,13.2264,6200,SIGNAL
2020-04-09,002192.SZ,BUY,16.17228,5100,SIGNAL
2020-04-10,600366.SH,SELL,5.95806,13200,STOP_LOSS (-4.2%)
2020-04-10,002852.SZ,SELL,14.28138,5800,TRAILING_STOP (3.2%)
2020-04-13,600366.SH,BUY,5.62122,14300,SIGNAL
2020-04-13,002852.SZ,BUY,13.877699999999999,5800,SIGNAL
2020-04-13,002706.SZ,SELL,12.15564,700,TRAILING_STOP (2.7%)
2020-04-13,603728.SH,SELL,12.40514,6200,STOP_LOSS (-6.3%)
2020-04-14,600685.SH,SELL,14.19156,6100,SIGNAL_LOST (6.4%)
2020-04-14,600482.SH,SELL,16.5169,4800,SIGNAL_LOST (-2.4%)
2020-04-14,600072.SH,SELL,11.81632,7400,SIGNAL_LOST (7.1%)
2020-04-14,002299.SZ,SELL,22.89412,3500,SIGNAL_LOST (-1.3%)
2020-04-14,002192.SZ,SELL,15.40912,5100,SIGNAL_LOST (-4.8%)
2020-04-14,002204.SZ,BUY,3.3066,24400,SIGNAL
2020-04-14,603311.SH,BUY,12.23442,6500,SIGNAL
2020-04-14,600381.SH,BUY,5.19036,15500,SIGNAL
2020-04-14,002676.SZ,BUY,4.01802,20000,SIGNAL
2020-04-14,002886.SZ,BUY,29.388659999999998,2700,SIGNAL
2020-04-14,000698.SZ,BUY,3.98796,20200,SIGNAL
2020-04-15,002076.SZ,BUY,2.69538,29700,SIGNAL
2020-04-15,600249.SH,BUY,4.6091999999999995,17300,SIGNAL
2020-04-16,603982.SH,BUY,16.96386,300,SIGNAL
2020-04-16,600381.SH,SELL,4.8403,15500,STOP_LOSS (-6.8%)
2020-04-17,600381.SH,BUY,4.79958,15600,SIGNAL
2020-04-17,002676.SZ,SELL,3.7923999999999998,20000,STOP_LOSS (-5.7%)
2020-04-20,600366.SH,SELL,6.0379,14300,SIGNAL_LOST (7.3%)
2020-04-20,002852.SZ,SELL,13.49296,5800,SIGNAL_LOST (-2.9%)
2020-04-20,002979.SZ,BUY,27.054,2900,SIGNAL
2020-04-20,002676.SZ,BUY,3.66732,21400,SIGNAL
2020-04-20,000698.SZ,SELL,3.6926,20200,STOP_LOSS (-7.5%)
2020-04-20,600249.SH,SELL,4.40118,17300,TRAILING_STOP (-4.6%)
2020-04-21,002204.SZ,SELL,3.03392,24400,SIGNAL_LOST (-8.3%)
2020-04-21,603311.SH,SELL,12.165619999999999,6500,SIGNAL_LOST (-0.6%)
2020-04-21,002886.SZ,SELL,30.82822,2700,SIGNAL_LOST (4.8%)
2020-04-21,002076.SZ,SELL,2.65468,29700,SIGNAL_LOST (-1.6%)
2020-04-21,603982.SH,SELL,17.3153,300,SIGNAL_LOST (1.9%)
2020-04-21,600962.SH,BUY,8.48694,9200,SIGNAL
2020-04-21,002757.SZ,BUY,23.00592,3400,SIGNAL
2020-04-21,603069.SH,BUY,10.921800000000001,7100,SIGNAL
2020-04-21,002913.SZ,BUY,57.114,1300,SIGNAL
2020-04-21,600689.SH,BUY,9.108179999999999,8600,SIGNAL
2020-04-21,002246.SZ,BUY,8.54706,9100,SIGNAL
2020-04-21,603933.SH,BUY,14.4288,5400,SIGNAL
2020-04-21,002979.SZ,SELL,26.775342000000002,2900,TRAILING_STOP (-1.1%)
2020-04-22,600381.SH,SELL,4.640700000000001,15600,SIGNAL_LOST (-3.4%)
2020-04-22,002856.SZ,BUY,18.537,4100,SIGNAL
2020-04-24,002980.SZ,BUY,36.072,2100,SIGNAL
2020-04-24,600689.SH,SELL,8.483,8600,STOP_LOSS (-6.9%)
2020-04-24,002856.SZ,SELL,17.465,4100,STOP_LOSS (-5.9%)
2020-04-27,002676.SZ,SELL,3.73252,21400,SIGNAL_LOST (1.7%)
2020-04-27,002981.SZ,BUY,36.31248,2100,SIGNAL
2020-04-27,600689.SH,BUY,8.2164,9500,SIGNAL
2020-04-27,002856.SZ,BUY,17.99592,4300,SIGNAL
2020-04-27,603069.SH,SELL,11.477,7100,TRAILING_STOP (5.0%)
2020-04-27,002246.SZ,SELL,9.1816,9100,TRAILING_STOP (7.3%)
2020-04-27,603933.SH,SELL,13.872200000000001,5400,STOP_LOSS (-3.9%)
2020-04-27,002980.SZ,SELL,34.730399999999996,2100,STOP_LOSS (-3.8%)
2020-04-28,600962.SH,SELL,8.532900000000001,9200,SIGNAL_LOST (0.5%)
2020-04-28,002757.SZ,SELL,23.053800000000003,3400,SIGNAL_LOST (0.1%)
2020-04-28,002913.SZ,SELL,57.22532,1300,SIGNAL_LOST (0.1%)
2020-04-28,603337.SH,BUY,17.935799999999997,4300,SIGNAL
2020-04-28,000727.SZ,BUY,1.3326600000000002,57900,SIGNAL
2020-04-28,000820.SZ,BUY,0.9519,81100,SIGNAL
2020-04-28,600687.SH,BUY,0.92184,83700,SIGNAL
2020-04-28,002192.SZ,BUY,13.8276,5500,SIGNAL
2020-04-28,002958.SZ,BUY,4.42884,17400,SIGNAL
