date,assets,market,positions,max_assets,dd
2023-04-12,363299.876925924,BULL,9,1030554.0263425,0.647471294430533
2023-04-13,361409.876925924,BULL,9,1030554.0263425,0.6493052594160541
2023-04-14,367468.876925924,BULL,9,1030554.0263425,0.6434258975921003
2023-04-17,367883.876925924,BULL,9,1030554.0263425,0.643023201576761
2023-04-18,361961.6939519239,BULL,9,1030554.0263425,0.6487698027472191
2023-04-19,365944.6939519239,BULL,9,1030554.0263425,0.644904891351806
2023-04-20,365076.6939519239,BULL,9,1030554.0263425,0.6457471567525638
2023-04-21,361181.33019192395,BULL,8,1030554.0263425,0.6495270301608749
2023-04-24,358117.769537924,BULL,8,1030554.0263425,0.652499761891275
2023-04-25,353655.36934512394,BULL,6,1030554.0263425,0.6568298601478773
2023-04-26,352703.4721230532,BULL,7,1030554.0263425,0.657753535372794
2023-04-27,354194.9577302532,BULL,8,1030554.0263425,0.6563062695632629
2023-04-28,360433.87304805324,BULL,9,1030554.0263425,0.6502523265788837
2023-05-04,366837.2213904532,BULL,8,1030554.0263425,0.6440388257058379
2023-05-05,369452.36923389323,BULL,7,1030554.0263425,0.6415012121731235
2023-05-08,371796.67134069325,BULL,8,1030554.0263425,0.639226414300449
2023-05-09,365332.6521720932,BULL,7,1030554.0263425,0.6454987872215866
2023-05-10,368332.26138929324,BULL,7,1030554.0263425,0.642588110885824
2023-05-11,367709.2558172932,BULL,8,1030554.0263425,0.6431926454915555
2023-05-12,362733.94017329323,BULL,9,1030554.0263425,0.6480204522021437
2023-05-15,367064.40523889323,BULL,7,1030554.0263425,0.6438183774395336
2023-05-16,368474.9042600932,BULL,10,1030554.0263425,0.6424496971130826
2023-05-17,373156.9042600932,BULL,10,1030554.0263425,0.6379065097785799
2023-05-18,374175.9042600932,BULL,10,1030554.0263425,0.6369177212493492
2023-05-19,375224.4671251172,BULL,9,1030554.0263425,0.6359002463395228
2023-05-22,374648.2968335172,BULL,10,1030554.0263425,0.6364593342445449
2023-05-23,372673.6149025172,BULL,9,1030554.0263425,0.6383754704979817
2023-05-24,378926.5328811172,BULL,9,1030554.0263425,0.6323079400058715
2023-05-25,379405.14732948074,BULL,8,1030554.0263425,0.6318435155932455
2023-05-26,376862.8652762807,BULL,9,1030554.0263425,0.6343104236720221
2023-05-29,382156.4337580807,BULL,9,1030554.0263425,0.6291737997333555
2023-05-30,377531.4600062807,BULL,10,1030554.0263425,0.6336616515427501
2023-05-31,371695.4463476807,BULL,10,1030554.0263425,0.639324638159097
2023-06-01,374037.1813876807,BULL,9,1030554.0263425,0.6370523312444261
2023-06-02,373818.8835634807,BULL,10,1030554.0263425,0.6372641569407215
2023-06-05,379260.2362248807,BULL,10,1030554.0263425,0.6319841303508379
2023-06-06,381731.9608000807,BULL,10,1030554.0263425,0.6295856878509601
2023-06-07,378659.9762878407,BULL,8,1030554.0263425,0.6325665936877387
2023-06-08,375754.71066544065,BULL,8,1030554.0263425,0.6353857235422995
