ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
511010.SH,20210805,125.034,125.001,125.05,124.91,124.984,-0.05,-0.04,10476.0,130960.671
511010.SH,20210804,125.111,125.061,125.161,125.01,125.034,-0.077,-0.0615,6281.0,78541.045
511010.SH,20210803,125.17,125.17,125.25,125.046,125.111,-0.059,-0.0471,8613.0,107757.098
511010.SH,20210802,124.826,124.8,125.22,124.8,125.17,0.344,0.2756,9034.0,112930.864
511010.SH,20210730,124.646,124.646,124.866,124.596,124.826,0.18,0.1444,8776.0,109493.541
511010.SH,20210729,124.721,124.721,124.812,124.61,124.646,-0.075,-0.0601,10599.52,132174.089
511010.SH,20210728,124.856,124.905,124.983,124.41,124.721,-0.135,-0.1081,10659.0,132945.988
511010.SH,20210727,124.701,124.652,124.989,124.42,124.856,0.155,0.1243,10713.0,133820.13
511010.SH,20210726,124.386,124.386,124.805,124.386,124.701,0.315,0.2532,9059.0,112942.52
511010.SH,20210723,124.341,124.391,124.397,124.279,124.386,0.045,0.0362,10173.0,126521.593
511010.SH,20210722,124.321,124.272,124.371,124.211,124.341,0.02,0.0161,8809.22,109528.153
511010.SH,20210721,124.204,124.162,124.38,124.162,124.321,0.117,0.0942,8285.0,103006.557
511010.SH,20210720,124.114,124.135,124.394,124.08,124.204,0.09,0.0725,9026.0,112159.69
511010.SH,20210719,124.1,124.06,124.15,124.051,124.114,0.014,0.0113,11355.0,140944.292
511010.SH,20210716,124.022,124.02,124.148,123.973,124.1,0.078,0.0629,9682.0,120099.882
511010.SH,20210715,124.279,124.23,124.273,123.99,124.022,-0.257,-0.2068,8898.22,110379.862
511010.SH,20210714,124.212,124.212,124.318,124.01,124.279,0.067,0.0539,9828.0,122032.685
511010.SH,20210713,123.912,123.991,124.286,123.95,124.212,0.3,0.2421,5869.0,72830.634
511010.SH,20210712,123.887,123.887,123.934,123.724,123.912,0.025,0.0202,2373.0,29390.363
511010.SH,20210709,123.837,123.834,123.889,123.761,123.887,0.05,0.0404,7911.0,97935.176
511010.SH,20210708,123.655,123.66,123.85,123.66,123.837,0.182,0.1472,7080.0,87645.504
511010.SH,20210707,123.518,123.53,123.779,123.443,123.655,0.137,0.1109,9063.0,111984.037
511010.SH,20210706,123.482,123.482,123.546,123.435,123.518,0.036,0.0292,5798.0,71614.561
511010.SH,20210705,123.467,123.42,123.636,123.418,123.482,0.015,0.0121,5719.0,70634.131
511010.SH,20210702,123.485,123.44,123.592,123.437,123.467,-0.018,-0.0146,8017.0,99001.972
511010.SH,20210701,123.523,123.473,123.699,123.43,123.485,-0.038,-0.0308,12702.0,156889.482
511010.SH,20210630,123.378,123.348,123.699,123.298,123.523,0.145,0.1175,7784.0,96161.907
511010.SH,20210629,123.231,123.198,123.388,123.08,123.378,0.147,0.1193,6531.0,80499.762
511010.SH,20210628,123.091,123.09,123.318,123.041,123.231,0.14,0.1137,6533.0,80447.183
511010.SH,20210625,123.047,123.013,123.118,123.011,123.091,0.044,0.0358,5808.0,71481.557
511010.SH,20210624,123.13,123.168,123.168,123.019,123.047,-0.083,-0.0674,6864.0,84458.4
511010.SH,20210623,123.161,123.148,123.169,123.076,123.13,-0.031,-0.0252,5642.0,69480.378
511010.SH,20210622,123.227,123.19,123.19,123.106,123.161,-0.066,-0.0536,6065.0,74684.904
511010.SH,20210621,122.968,122.959,123.277,122.948,123.227,0.259,0.2106,5879.0,72355.135
511010.SH,20210618,122.873,122.873,122.988,122.818,122.968,0.095,0.0773,5647.0,69405.615
511010.SH,20210617,122.937,122.9,122.968,122.812,122.873,-0.064,-0.0521,6652.0,81763.059
511010.SH,20210616,122.69,122.689,122.937,122.551,122.937,0.247,0.2013,9298.0,114168.36
511010.SH,20210615,122.712,122.697,122.72,122.612,122.69,-0.022,-0.0179,9333.0,114490.558
511010.SH,20210611,122.888,122.862,122.917,122.688,122.712,-0.176,-0.1432,7827.0,96090.318
511010.SH,20210610,122.86,122.86,122.93,122.86,122.888,0.028,0.0228,6141.0,75473.855
511010.SH,20210609,122.896,122.9,122.9,122.85,122.86,-0.036,-0.0293,6765.0,83118.729
511010.SH,20210608,122.876,122.888,123.018,122.877,122.896,0.02,0.0163,6514.0,80064.903
511010.SH,20210607,123.015,123.0,123.0,122.871,122.876,-0.139,-0.113,6695.0,82286.008
511010.SH,20210604,122.966,122.966,123.052,122.936,123.015,0.049,0.0398,7820.0,96198.959
511010.SH,20210603,122.985,122.985,123.019,122.858,122.966,-0.019,-0.0154,5903.0,72567.749
511010.SH,20210602,123.071,123.06,123.06,122.98,122.985,-0.086,-0.0699,6609.0,81301.279
