trade_date,nav_satellite_full
2023-02-08,1257196.4289782138
2023-02-09,1261385.2419823478
2023-02-10,1258220.110203241
2023-02-13,1261362.308304279
2023-02-14,1261790.9413866655
2023-02-15,1260283.271854263
2023-02-16,1255839.2275078986
2023-02-17,1248889.545655822
2023-02-20,1256317.7226693886
2023-02-21,1257859.1400308267
2023-02-22,1256968.8518345798
2023-02-23,1256890.7783588122
2023-02-24,1254734.65515964
2023-02-27,1252377.6364312144
2023-02-28,1254727.3338211253
2023-03-01,1258354.2443702852
2023-03-02,1257517.746597388
2023-03-03,1260870.7809291675
2023-03-06,1263416.0987663916
2023-03-07,1260722.7424761383
2023-03-08,1259674.7541271888
2023-03-09,1260130.2098011507
2023-03-10,1256129.3446679728
2023-03-13,1258447.67711274
2023-03-14,1257091.647314162
2023-03-15,1260023.8058404827
2023-03-16,1257246.3659097305
2023-03-17,1260623.773729128
2023-03-20,1262339.4901272366
2023-03-21,1264166.7349982488
2023-03-22,1265223.1156208415
2023-03-23,1266012.439460105
2023-03-24,1266063.7977923946
2023-03-27,1265547.7145952657
2023-03-28,1263913.6750396632
2023-03-29,1263932.2672386074
2023-03-30,1265894.8842034012
2023-03-31,1268746.5397829595
2023-04-03,1271778.985338151
2023-04-04,1273280.3074660117
2023-04-06,1273518.3429927146
2023-04-07,1275665.9942337738
2023-04-10,1273141.0560572469
2023-04-11,1274064.3747278037
2023-04-12,1275414.6042553314
2023-04-13,1274010.6189652297
2023-04-14,1275868.1810098551
2023-04-17,1277785.8084923895
2023-04-18,1278128.5329314573
2023-04-19,1277317.3541642409
2023-04-20,1276250.9038565976
2023-04-21,1272080.18309663
2023-04-24,1270282.7889028797
2023-04-25,1269644.989052264
2023-04-26,1270850.0197928555
2023-04-27,1273362.8505029092
2023-04-28,1276316.140638163
2023-05-04,1278979.1770864413
2023-05-05,1279198.475462615
2023-05-08,1281665.3333715321
2023-05-09,1279606.9831989019
2023-05-10,1279246.8660159244
2023-05-11,1280638.6706764293
2023-05-12,1276917.6044001954
2023-05-15,1279604.3653570288
2023-05-16,1277991.3174238263
2023-05-17,1277913.1085475017
2023-05-18,1278247.728212209
2023-05-19,1278905.8523023801
2023-05-22,1280324.4881129088
2023-05-23,1280564.3307437457
2023-05-24,1277493.8062456218
2023-05-25,1276071.413032049
2023-05-26,1277236.3831726285
2023-05-29,1278570.9315208457
2023-05-30,1280312.8324063807
2023-05-31,1279560.7705316346
2023-06-01,1281144.3401009205
2023-06-02,1283462.121226619
2023-06-05,1283117.8572963963
2023-06-06,1280519.4847661736
2023-06-07,1280825.5821748308
2023-06-08,1279541.4248129346
2023-06-09,1282455.7700289118
2023-06-12,1283923.565299138
2023-06-13,1287164.9995239628
2023-06-14,1286413.6075197994
2023-06-15,1288160.385909284
2023-06-16,1289159.499474868
2023-06-19,1286824.9177130368
2023-06-20,1286401.7629235098
2023-06-21,1281776.695223092
2023-06-26,1277412.5124417192
2023-06-27,1279964.1306812088
2023-06-28,1280542.1148211493
2023-06-29,1281090.6515620553
2023-06-30,1285596.7757500159
2023-07-03,1289735.12349841
2023-07-04,1290762.7674588414
2023-07-05,1288990.195881887
2023-07-06,1288663.439357354
2023-07-07,1287108.3243034603
2023-07-10,1288158.8404183832
2023-07-11,1290251.7102107275
2023-07-12,1288481.7445823862
2023-07-13,1294243.7999859774
2023-07-14,1295353.7730326208
2023-07-17,1294045.3700614918
2023-07-18,1294297.1571289934
2023-07-19,1296398.650420822
2023-07-20,1291562.6390973814
2023-07-21,1290601.897915384
2023-07-24,1289448.9580683329
2023-07-25,1295298.491677023
2023-07-26,1295407.6281781087
2023-07-27,1295659.1500286865
2023-07-28,1299334.350400031
2023-07-31,1300974.271407941
2023-08-01,1301020.3569992704
2023-08-02,1297966.6490610633
2023-08-03,1299096.0060506035
2023-08-04,1300782.307999681
2023-08-07,1298160.2523977496
2023-08-08,1296797.23903576
2023-08-09,1295022.6337354667
2023-08-10,1294425.0864141725
2023-08-11,1290163.0467941528
2023-08-14,1289209.0281216989
2023-08-15,1291167.6438864307
