trade_date,nav_baseline
2022-01-06,1329224.1148330013
2022-01-07,1328497.1332068702
2022-01-10,1330209.6526545247
2022-01-11,1328823.061151484
2022-01-12,1333383.484771771
2022-01-14,1331112.5580582186
2022-01-17,1333854.945044116
2022-01-18,1337358.2484966835
2022-01-19,1334928.4152607112
2022-01-20,1335264.1062863204
2022-01-21,1332663.093074097
2022-01-24,1335568.0561291792
2022-01-25,1325341.046842405
2022-01-26,1324272.2769754808
2022-01-27,1314297.2859882896
2022-01-28,1314109.745501601
2022-02-07,1321341.1188612196
2022-02-08,1324704.562232846
2022-02-09,1330508.4197077765
2022-02-10,1332713.5021168
2022-02-11,1324418.4588915866
2022-02-14,1317574.7840084184
2022-02-15,1318814.2079712404
2022-02-16,1320099.450274371
2022-02-17,1321538.2058078647
2022-02-18,1326287.658948094
2022-02-21,1325173.2640858921
2022-02-22,1321076.9758643382
2022-02-23,1324631.1494119386
2022-02-24,1319873.1882895725
2022-02-25,1322533.8811131788
2022-02-28,1323251.344833827
2022-03-01,1324794.7320409752
2022-03-02,1325186.8580989463
2022-03-03,1324849.310866315
2022-03-04,1320147.3525700327
2022-03-07,1315227.757385611
2022-03-08,1307398.9606946937
2022-03-09,1303246.316682999
2022-03-10,1305769.4209362413
2022-03-11,1309173.9341567704
2022-03-14,1302661.157331182
2022-03-15,1279292.5740332808
2022-03-16,1292793.2844579245
2022-03-17,1302181.1563282972
2022-03-18,1306972.2505118179
2022-03-21,1307242.8342371497
2022-03-22,1308015.607464483
2022-03-23,1308768.6020146466
2022-03-24,1307389.3043333916
2022-03-25,1305193.5673045411
2022-03-28,1304282.1686509098
2022-03-29,1302742.1067892064
2022-03-30,1311868.2639378656
2022-03-31,1309517.1039225252
2022-04-01,1315217.800891732
2022-04-06,1315795.7128377329
2022-04-07,1310045.473956024
2022-04-08,1312740.6029997708
2022-04-11,1301843.7385193198
2022-04-12,1306778.383889148
2022-04-13,1303565.447636438
2022-04-14,1309220.9709315766
2022-04-15,1306787.1373065433
2022-04-18,1305819.6614996714
2022-04-19,1305587.9339169231
2022-04-20,1296939.1670628898
2022-04-21,1290330.670516925
2022-04-22,1291116.2282093712
2022-04-25,1272730.8895744698
2022-04-26,1269123.3796166535
2022-04-27,1277655.5056721366
2022-04-28,1278348.1953413005
2022-04-29,1290025.5126156046
2022-05-05,1290349.8882107073
2022-05-06,1282399.132167976
2022-05-09,1282979.8258104003
2022-05-10,1287148.4490414264
2022-05-11,1289551.3674656074
2022-05-12,1290023.8681429545
2022-05-13,1293181.246578435
2022-05-16,1291688.671196556
2022-05-17,1294943.308017542
2022-05-18,1294604.2284284257
2022-05-19,1294343.229208591
2022-05-20,1297858.5820638512
2022-05-23,1298232.5317437688
2022-05-24,1290722.3050636565
2022-05-25,1294426.106867359
2022-05-26,1298032.3064116302
2022-05-27,1297968.719193925
2022-05-30,1297896.7500679009
2022-05-31,1299451.7287590448
2022-06-01,1298866.0108054455
2022-06-02,1299893.3224489272
2022-06-06,1304506.1168781472
2022-06-07,1304243.7024110206
2022-06-08,1306556.5667966036
2022-06-09,1304817.9914922547
2022-06-10,1306683.5577525157
2022-06-13,1304913.902116884
2022-06-14,1303627.0773511936
2022-06-15,1304513.6022683708
2022-06-16,1303955.1739517471
2022-06-17,1306791.1948772823
2022-06-20,1306344.586304718
2022-06-21,1305648.5694907166
2022-06-22,1303902.7522789964
2022-06-23,1307337.2574428632
2022-06-24,1308522.6831155973
2022-06-27,1310411.7368535574
2022-06-28,1311678.517548024
2022-06-29,1308985.5335853798
2022-06-30,1310772.1685136124
2022-07-01,1310649.9353943344
2022-07-04,1311314.0237214945
2022-07-05,1310610.0357303305
2022-07-06,1305250.9172108315
2022-07-07,1305364.645300807
2022-07-08,1304043.6588048062
2022-07-11,1301497.9844714773
2022-07-12,1299974.2012876468
2022-07-13,1301059.0575278588
2022-07-14,1302333.0065874946
2022-07-15,1300851.6337856334
2022-07-18,1303876.7044705686
2022-07-19,1302993.5157088835
2022-07-20,1305340.6859645406
2022-07-21,1303763.747718359
2022-07-22,1304523.4743812117
2022-07-25,1303177.4714132843
2022-07-26,1306708.9537420399
2022-07-27,1307144.283069532
2022-07-28,1308399.744833654
2022-07-29,1309737.3546410955
2022-08-01,1312598.9298477068
2022-08-02,1307818.5903414176
2022-08-03,1304104.223158708
2022-08-04,1307576.5140625946
2022-08-05,1310001.1433724524
2022-08-08,1311693.3921689938
2022-08-09,1312426.210076812
2022-08-10,1310809.4472357207
2022-08-11,1315925.404553729
2022-08-12,1316054.2050181169
2022-08-15,1320638.7579532044
2022-08-16,1322826.3109711045
2022-08-17,1324783.6164011543
2022-08-18,1321817.0286663526
2022-08-19,1320173.6167899077
2022-08-22,1322718.4780147735
2022-08-23,1321591.0071356543
2022-08-24,1313770.7164917619
2022-08-25,1315542.9015367795
2022-08-26,1314135.5313042917
2022-08-29,1312363.5562908978
