ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H30269.CSI,20181129,7192.6605,7304.1467,7316.1268,7191.6759,7269.0432,-76.3827,-1.0508,8484793.99,14987319.807
H30269.CSI,20181128,7269.0432,7202.5871,7270.4212,7164.2138,7197.1048,71.9384,0.9995,6922191.89,12246067.342
H30269.CSI,20181127,7197.1048,7243.099,7257.3393,7181.5786,7225.8332,-28.7284,-0.3976,6703016.74,10769627.525
H30269.CSI,20181126,7225.8332,7205.4317,7278.1553,7190.356,7196.5739,29.2593,0.4066,7051991.82,11313875.306
H30269.CSI,20181123,7196.5739,7354.5551,7362.7179,7188.8334,7360.0142,-163.4403,-2.2207,9080913.38,13673023.455
H30269.CSI,20181122,7360.0142,7375.8905,7387.0653,7315.4533,7363.2941,-3.2799,-0.0445,7461441.33,12854446.623
H30269.CSI,20181121,7363.2941,7287.9057,7376.2029,7279.8061,7355.9953,7.2988,0.0992,8878960.16,14073375.673
H30269.CSI,20181120,7355.9953,7460.7593,7488.0251,7349.4248,7503.384,-147.3887,-1.9643,11083064.78,17250911.424
H30269.CSI,20181119,7503.384,7439.2353,7503.384,7431.809,7427.3012,76.0828,1.0244,11911729.65,19106522.022
H30269.CSI,20181116,7427.3012,7374.9523,7460.8424,7359.0415,7367.1913,60.1099,0.8159,13205909.76,19879522.261
H30269.CSI,20181115,7367.1913,7295.4686,7367.4493,7295.0512,7300.162,67.0293,0.9182,8893589.41,14746259.353
H30269.CSI,20181114,7300.162,7348.9315,7374.0031,7288.0082,7349.1655,-49.0035,-0.6668,11598014.7,19009265.235
H30269.CSI,20181113,7349.1655,7206.6148,7379.814,7199.3174,7281.5094,67.6561,0.9291,11095665.53,20005510.245
H30269.CSI,20181112,7281.5094,7167.6266,7285.7042,7165.5908,7183.7972,97.7122,1.3602,9745795.27,18959763.853
H30269.CSI,20181109,7183.7972,7224.0344,7234.8033,7175.0544,7256.4676,-72.6704,-1.0015,9760568.65,17641188.398
H30269.CSI,20181108,7256.4676,7327.3308,7334.7025,7248.6706,7273.3941,-16.9265,-0.2327,7757708.31,14971098.565
H30269.CSI,20181107,7273.3941,7329.657,7368.4896,7269.0891,7319.177,-45.7829,-0.6255,9655508.26,17259635.447
H30269.CSI,20181106,7319.177,7340.3304,7340.4062,7264.4953,7350.2383,-31.0613,-0.4226,9422350.27,16463485.493
H30269.CSI,20181105,7350.2383,7347.0757,7388.1973,7279.0777,7382.2294,-31.9911,-0.4334,11947566.32,23079389.517
H30269.CSI,20181102,7382.2294,7322.4901,7382.2294,7252.346,7196.7106,185.5188,2.5778,18645107.57,36393390.086
H30269.CSI,20181101,7196.7106,7211.0627,7269.8999,7184.0768,7162.0396,34.671,0.4841,14591232.66,28370321.274
